id,variant_id,product_name,product_type,product_code,sku,category,brand,price,cost_price,base_unit,unit_quantity,tax_rate (%),product_description,variant_name,variant_sku,variant_product_code,variant_cost_price,variant_price,variant_qty,variant_status
54,,Oval Bag,single,3452061389,B0014,Oval Bag,N/A,4190,3500,pcs,6,0,,,,,,,,
55,,Over Coat,single,6871725320,OC0020,Over Coat,N/A,3990,2000,pcs,11,0,"Dark Green, Light Green, Off White, White, Blue",,,,,,,
56,,Plain Hats,single,3492188615,H0010,Hats,N/A,1890,1000,pcs,4,0,,,,,,,,
57,,Printed Bag,single,3035706821,B0012,Printed,N/A,7000,7000,pcs,3,0,,,,,,,,
58,,Sweet Peony Frock S,single,7563933624,VCSFR017,Viola Frock,Viola,4600,4600,pcs,18,0,,,,,,,,
59,,Sweet Peony Frock M,single,6908026423,VCSFR018,Viola Frock,Viola,4790,3500,pcs,19,0,,,,,,,,
60,,Sweet Peony Frock *,single,6432364042,VCSFR019,Frocks,Viola,4790,3500,pcs,16,0,Size check 03 pec *1pec damage,,,,,,,
63,,Vintage Weave Small Woven  Bag,single,0031888461,VCBB002,Woven Bag Small,N/A,4990,3500,pcs,1,0,,,,,,,,
64,,Costal Breeze Woven Bag meadium,single,3077496978,VCBB001,bag meadium,N/A,4890,3600,pcs,3,0,,,,,,,,
65,,Yellow Ditsy Floral Frock L,single,3642743229,VCSFR004,Viola Frock,Viola,4890,4000,pcs,16,0,,,,,,,,
66,,Yellow Ditsy Floral Frock XL,single,6411855449,VCSFR003,Viola Frock,Viola,4890,4000,pcs,16,0,,,,,,,,
67,,Yellow Ditsy Floral Frock S,single,5058205638,VCSFR002,Viola Frock,Viola,4890,4000,pcs,16,0,,,,,,,,
68,724,Yellow Ditsy Floral Frock * - XL,variable,6724893017,VCSFR001-XL,Frock,Viola,4890,4000,pcs,63,0,Size check 04,XL,VCSFR001-XL,5403179452,4000,4890,16,1
68,725,Yellow Ditsy Floral Frock * - L,variable,6724893017,VCSFR001-L,Frock,Viola,4890,4000,pcs,63,0,Size check 04,L,VCSFR001-L,9953586962,4000,4890,16,1
68,726,Yellow Ditsy Floral Frock * - M,variable,6724893017,VCSFR001-M,Frock,Viola,4890,4000,pcs,63,0,Size check 04,M,VCSFR001-M,5647505862,4000,4890,16,1
68,727,Yellow Ditsy Floral Frock * - S,variable,6724893017,VCSFR001-S,Frock,Viola,4890,4000,pcs,63,0,Size check 04,S,VCSFR001-S,9749908646,4000,4890,15,1
70,,Classic Comfort Shorts,single,3637820952,VDBST0016,Short,Vyla,990,800,pcs,5,0,Purple & Black,,,,,,,
73,,Patch Denim Shorts @,single,7673863287,VDBST0019,Short,Vyla,3490,3200,pcs,4,0,,,,,,,,
74,,Denim Shorts L,single,7113634218,VCBST0020,Short,Vyla,3290,3000,pcs,6,0,,,,,,,,
75,,Autumn Lace Skirt,single,2130513353,VCBSK0024,laxary,Katelina,6890,5200,pcs,6,0,"White 2, Cream 2, Brown 2, Black 2",,,,,,,
76,,Embroidered Eyelet Skirt,single,2463771988,VLBSK0022,Skirt,Vyla,4790,3500,pcs,8,0,,,,,,,,
77,,Ruby Ruffle Skirt,single,2971837551,VLBSK0023,laxary,Vyla,5690,5000,pcs,12,0,,,,,,,,
79,,Pocket Mini Skirt,single,0986918574,VCBSK0025,Skirt,MAKQVA JEANS,4390,3500,pcs,4,0,"S 1, M 1, L 2",,,,,,,
80,,Denim Drift Skirt,single,4294044493,VCBSK0026,laxary,JR Fashion,5190,4200,pcs,2,0,,,,,,,,
81,,Honey Floral Skirt,single,6443002620,VCBSK027,laxary,JR Fashion,4990,4500,pcs,15,0,,,,,,,,
83,,Frayed Front Slit Skirt,single,7634244129,VCBSK0029,Skirt,YG Fashion,5990,5990,pcs,9,0,,,,,,,,
84,,Belted Utility Midi Skirt,single,2321255104,VLBSK0030,Skirt,YG Fashion,5990,5990,pcs,7,0,,,,,,,,
85,,Ripped Slit Skirt,single,8897398117,VCBSK0031,Skirt,YG Fashion,5990,5990,pcs,10,0,,,,,,,,
86,,Modern Slit Skirt,single,5687344463,VCBSK0032,Skirt,YG Fashion,5990,5990,pcs,6,0,,,,,,,,
88,,Slit Mini Skirt,single,2353412686,VCBSK0034,laxary,DU dideal,5190,3000,pcs,1,0,,,,,,,,
90,,Denim Skirt,single,2918158152,VCBSK0037,Skirt,Vyla,3890,3000,pcs,14,0,3pcs Damage,,,,,,,
91,,Floral Printed Skort,single,4512481656,VCBSK0040,Skirt,Fashion Shopping,4890,3000,pcs,4,0,,,,,,,,
92,,Floral A Line Skirt,single,8187665997,VCBSK0041,Skirt,Fashion Shopping,4690,3000,pcs,3,0,,,,,,,,
93,,Tropical Petal Shorts,single,8003698376,VCBSK0042,Short,Fashion Shopping,3890,3000,pcs,12,0,,,,,,,,
94,,Cotton Jump Suit,single,9789498065,VCBJS0040,laxary,Vyla,8790,3500,pcs,7,0,"Orange, Black, Green, Blue, Gray, Brown",,,,,,,
95,,Denim Jump Suit,single,8027120804,VCBJS0041,Jump Suit,old navy,7290,3000,pcs,1,0,,,,,,,,
96,,Fresh Bloom Frock,single,7571850107,VLBFR0042,laxary,Vyla,9290,5000,pcs,13,0,"Off White 2, Light Blue 2, Black 2, Pink 2, Yellow 2, White 2, Green 1",,,,,,,
97,,Lacy Button Frock,single,7383107488,VLBFR0043,laxary,Vyla,9790,5000,pcs,9,0,"Pink 2, Green 2, White 2, Black 1, Off White 2",,,,,,,
98,,Lace Smock Frock,single,4234344834,VLBFR0044,laxary,Vyla,8690,5000,pcs,6,0,Yellow 3 & White 3,,,,,,,
99,,Daisy Chain Frock,single,4035686635,VLBFR0045,Frock,Vyla,8490,5000,pcs,7,0,"Brown 2, Black 2, Yellow 2, White 2",,,,,,,
100,,Lace Bloom Frock #,single,1092351434,VLBFR0046,laxary,Vyla,7890,5000,pcs,5,0,"Off White, Pink, Black, White, Blue",,,,,,,
101,,Floral Eyelet Tiered Frock # *,single,9003424267,VLBFR0047,laxary,Vyla,8590,5000,pcs,5,0,"Light Blue, Off white, Pink, Black, Green

Damage 1 pec *",,,,,,,
102,,Floral Bow Neck Frock,single,2923250568,VLBFR0048,laxary,Vyla,8490,5000,pcs,4,0,"Off White, Black, Light Blue, Pink, White",,,,,,,
103,,Sun Kissed Maxi Frock,single,4245797883,VLBFR0049,laxary,Vyla,6990,5000,pcs,8,0,"Off White, Yellow, Pink, Orange, Blue, Black, Green, Purple
",,,,,,,
104,,Blossom Bow Frock,single,6014575920,VLBFR0050,laxary,Vyla,8790,5000,pcs,6,0,"Green, White, Peach, Light Blue, Black, Off White",,,,,,,
105,,Crochet Mesh Frock,single,0842185040,VLBFR0051,laxary,Vyla,9290,5000,pcs,5,0,"Brown, Pink, Black, Off White, White, Light Green",,,,,,,
106,,Classic Gather Frock,single,7698589480,VLBFR0052,laxary,Vyla,8990,5000,pcs,4,0,"Gray, White, Dark Gray
",,,,,,,
107,,Angelic Lace Frock,single,2073550758,VLBFR0053,laxary,DD Fashion,8990,5000,pcs,5,0,"White, Green, Red, Gray, Dark Green",,,,,,,
111,,Luna Pants,single,9614881336,VCBPT0057,laxary,Preeya Closet,6890,3500,pcs,22,0,"Light Brown 5, Dark Brown 5, Green 5, Off White 5, White 5",,,,,,,
117,,Banny T Shirt,single,1072555115,VCBTS0081,T Shirt,Banny,3790,3200,pcs,32,0,"Cream 9, Black 4, Gray 11, Brown 4",,,,,,,
118,,GI ANTS T Shirt,single,9662412635,VCBTS0065,T Shirt,GI ANTS,3190,2800,pcs,3,0,"Red. Pink, Brown, Green",,,,,,,
120,,Ribbed Lace Tee,single,0867953782,VCBCT0067,Crop Top,Vyla,3290,4200,pcs,1,0,,,,,,,,
122,,Lace Trim Teddy Tee,single,5508930554,VCBCT0068,Crop Top,Vyla,3990,3100,pcs,12,0,,,,,,,,
124,,Ribbed Crop Top,single,2426183795,VCBCT0071,Crop Top,Vyla,2890,2500,pcs,3,0,,,,,,,,
125,,Sweet Ribbon Tee,single,4001801932,VCBCT0072,Crop Top,JR Fashion,3790,2400,pcs,12,0,,,,,,,,
126,,Little Bear Crop Top *,single,8045904413,VCBCT0073,Crop Top,Vyla,3690,2500,pcs,9,0,"Brown 3, Pink 3, Black 3

1 pec damage *",,,,,,,
127,,Heart Button Tee,single,1199297119,VCBTS066,T Shirt,CHOM,3190,2500,pcs,6,0,,,,,,,,
128,,Puppy Love Tee,single,9713298927,VCBTS0076,T Shirt,CHOM,3890,2500,pcs,14,0,1pcs Damage,,,,,,,
131,,Sweetheart Blouse #,single,1756788651,VCBBL0077,white blouse,Chompoo,4990,3500,pcs,7,0,White,,,,,,,
132,,Royal Lace Blouse #,single,3128394307,VLBBL0078,laxary,Cotton Store,5490,4500,pcs,5,0,"Pink, Brown, Cream",,,,,,,
133,,Ivory Blouse #,single,0824919832,VLBBL0079,laxary,Cotton Store,4990,3500,pcs,3,0,"Pink, White, Brown",,,,,,,
134,,Sweet Mila Blouse #,single,0080296583,VCBBL0080,laxary,Cotton Store,4190,3500,pcs,2,0,"White, Pink",,,,,,,
135,,Lace Front Blouse,single,7518402917,VLBBL0081,Blouse,Ploy Lada,5890,4500,pcs,3,0,"Cream, Brown, Pink",,,,,,,
136,,Sweet Daisy Blouse,single,2684017206,VCBBL0082,Blouse,Cotton Store,4790,3500,pcs,2,0,,,,,,,,
137,,Wild Rose Blouse,single,6923449924,VCBBL0083,Blouse,Ploy Lada,4990,4500,pcs,7,0,"Green, White, Purple, Pink",,,,,,,
138,,Rustic Cotton Blouse,single,2639791914,VLBBL0084,laxary,Vyla,5790,4500,pcs,7,0,,,,,,,,
139,,Garden Bloom Blouse,single,0490315273,VCBBL0085,Blouse,The Grand,3190,3200,pcs,1,0,,,,,,,,
141,,Butterfly Blouse,single,3233408745,VLBBL0087,laxary,PHA THAI,5190,3200,pcs,7,0,"Red, Blue, Pink",,,,,,,
142,,Sweethart Lace Blouse,single,5850522366,VLBBL0088,laxary,I Love Lucky,4890,3200,pcs,7,0,"Black, Peach, White",,,,,,,
143,,Tiger Lily Blouse,single,6636320817,VCBBL0089,laxary,PHA THAI,4990,3200,pcs,10,0,,,,,,,,
144,,Summer Blouse,single,9657110458,VCBBL0090,Blouse,Paradise,3290,2800,pcs,6,0,,,,,,,,
148,,Long Sleeve Bow Blouse $,single,4392826860,VLBBL0094,Blouse,Mirabel,5190,4500,pcs,8,0,"Light Green, Red, Light Blue, Black, Pink, White

...........
Stors
Blouse box 01 
No - 148
8 pec ",,,,,,,
149,,Short Sleeve Bow Blouse,single,5790165062,VLBBL0095,Blouse,Mirabel,4390,3500,pcs,8,0,"Stors 
Blouse box 01
No - 149
4 pec",,,,,,,
150,,Chic Lace Blouse,single,2212669584,VCBBL0096,Blouse,PP Nook,4990,3500,pcs,10,0,"Green, Cream, Blue, Pink, White",,,,,,,
151,,Candy Button Tee,single,4194794479,VCBBL0097,Blouse,CHOM,3490,3200,pcs,7,0,"Black, White, Blue, Yellow, Pink",,,,,,,
156,,Pearl Ruffle Blouse,single,2878999534,VLBBL0102,Blouse,Ploy Lada,5190,3200,pcs,5,0,,,,,,,,
160,,Petal Collar Top,single,2690083717,VCBBL0106,Blouse,Ming Ming,4290,3400,pcs,5,0,,,,,,,,
161,,Daisy Collar Top,single,4413765890,VLBBL0107,Blouse,Classic,5290,3200,pcs,19,0,"Pink 4, Blue 4, Gray 4, White 4, Cream 4",,,,,,,
162,,Blush Top,single,9414405275,VCBBL0108,laxary,Classic,4890,3500,pcs,10,0,,,,,,,,
163,,Lace Mist Blouse,single,1681161060,VLBBL0109,laxary,PP Nook,4990,3500,pcs,9,0,,,,,,,,
164,,Sweet Peony Blouse,single,3835295798,VLBBL0110,laxary,PP Nook,4990,3500,pcs,6,0,,,,,,,,
166,,Puff Sleeve Petal Blouse,single,8533123053,VLBBL0112,laxary,Luxury Fashion,4990,3500,pcs,12,0,"Cream, Blue, Yellow, Green, Pink",,,,,,,
170,,Check Lace Blouse,single,8240688449,VCBBL0116,Blouse,MEOW DAM,4190,2500,pcs,11,0,"Red, Blue, Yellow, Pink",,,,,,,
171,,Ruffle Blouse @,single,5257237729,VLBBL0117,Blouse,CHOEGO,4890,3200,pcs,6,0,,,,,,,,
172,,Embroidered Bloom Top,single,1406276569,VLBBL0118,laxary,PP Nook,5190,3200,pcs,13,0,,,,,,,,
181,,Wide Leg Linen Set,single,9902556468,VLBFK0127,laxary,Vyla,8790,4000,pcs,11,0,"Long Trouser & Top - Off White, Black, Blue, Green, Brown",,,,,,,
183,,Wild Sage Set,single,7449604311,VLBFK0129,laxary,Vyla,9490,3600,pcs,5,0,"Pink, Gray, Brown, White, Light Blue, Light Green, Yellow, Orange, Blue",,,,,,,
186,,Crinkle Cotton Set *,single,8275047251,VLBFK0132,laxary,Vyla,7690,3500,pcs,4,0,"Blue, Off White, Black, Orange, White, Brown

* DAMAGE 1 PECS
EXPIATE COTTEN",,,,,,,
187,,Blush Bloom Set,single,0156513310,VLBFK0133,laxary,Vyla,7690,5500,pcs,10,0,"Pink 2, Cream 2, Dark Blue2, Blue 2, Green 2",,,,,,,
188,,Embroidered Crop Top & Maxi Set,single,1753314135,VLBFK0134,laxary,Vyla,8790,5500,pcs,4,0,,,,,,,,
189,,Mint Tassel Set,single,7318837624,VLBFK0135,laxary,Vyla,8990,5500,pcs,5,0,"Pink, Cream, Green, Blue",,,,,,,
190,,Noir Eyelent Set,single,2273177590,VLBFK0136,laxary,Vyla,9790,5500,pcs,11,0,White 7 & Black 4,,,,,,,
191,,Eyelet Luxe Set,single,9380048209,VLBFK0137,Full Kit,Vyla,8790,5500,pcs,7,0,"Black, Off White, Yellow, Blue",,,,,,,
192,,Sleeveless Button Up Set,single,4219008289,VLBFK0138,laxary,Vyla,9490,5500,pcs,10,0,"Pink 2, Yellow 2, Blue 2, White 2, Off White 2",,,,,,,
193,,Periwinkle Floral Embroidery Set,single,4364689107,VLBFK0139,laxary,Vyla,8990,5500,pcs,5,0,"Pink, Blue, Off white, Brown, Black, White, Yellow",,,,,,,
194,,Rust Linen Mini Set,single,0311731843,VLBFK0140,laxary,Vyla,6790,4500,pcs,17,0,"Green, Dark Green, Blue, White, Pink, Off White, Cream, Brown, Dark Blue",,,,,,,
195,,Desert Sand Wrap Set #,single,1721636167,VLBFK0141,Full Kit,Vyla,9590,8500,pcs,12,0,"Off White, Dark Green, Dark Brown, Light Brown, Pink, Navy Blue",,,,,,,
196,,Scalloped Edge Eyelet Set,single,3964718439,VLBFK0142,Full Kit,Vyla,8690,5500,pcs,5,0,"Off White, Black, Blue, White, Pink",,,,,,,
197,,Rust Tassel Skirt Set,single,4329517332,VLBFK0143,laxary,Vyla,8490,6500,pcs,0,0,"Brown, Gray",,,,,,,
199,,Bella Bloom Tee #,single,7981584344,VCBTS0045,T Shirt,Vyla,3890,2800,pcs,8,0,,,,,,,,
201,,Paris Club Tee@,single,8309713284,VCBCT0069,Crop Top,SEED ZAG,3490,2500,pcs,3,0,"Red 2, White 3, Black 2, Brown 1, Green 1",,,,,,,
206,752,Flower Embroider Blouse - XXL,variable,2686500494,VLBBL0070-XXL,Blouse,Vyla,5490,4390,pcs,11,0,,XXL,VLBBL0070-XXL,8605559714,4390,5490,0,1
206,753,Flower Embroider Blouse - XL,variable,2686500494,VLBBL0070-XL,Blouse,Vyla,5490,4390,pcs,11,0,,XL,VLBBL0070-XL,0864011260,4390,5490,9,1
207,,Flower Embroider Blouse 2XL,single,3157473218,VLBBL0071,Blouse,Vyla,4990,3500,pcs,4,0,,,,,,,,
209,1,Urban Linen Blouse - L,variable,5115573618,VLBBL0072-L,Blouse,Vyla,4790,3200,pcs,30,0,"L 5, M 5, XL 5",L,VLBBL0072-L,6051037966,3200,4790,10,1
209,2,Urban Linen Blouse - M,variable,5115573618,VLBBL0072-M,Blouse,Vyla,4790,3200,pcs,30,0,"L 5, M 5, XL 5",M,VLBBL0072-M,0348742953,3200,4790,10,1
209,3,Urban Linen Blouse - S,variable,5115573618,VLBBL0072-S,Blouse,Vyla,4790,3200,pcs,30,0,"L 5, M 5, XL 5",S,VLBBL0072-S,8005807345,3200,4790,10,1
212,,Denim Shorts M,single,1057322344,VCBST0021,Short,Vyla,2890,3000,pcs,5,0,,,,,,,,
213,,Denim Shorts S,single,5870218462,VCBST0022,Short,Vyla,2890,3000,pcs,2,0,,,,,,,,
215,,Denim Mini Skirt *,single,6539036139,VCBSK0030,Skirt,DU dideal,4790,3000,pcs,9,0,Shiper damage 1pec *,,,,,,,
216,,Denim Skort #,single,3635057274,VCBSK0036,laxary,STRADIVARIUS,3990,3200,pcs,9,0,,,,,,,,
218,,Patch Denim Skirt L,single,0296489233,VCBSK0039,Skirt,Vyla,3590,3000,pcs,1,0,,,,,,,,
219,,Short Denim Jump Suit,single,3163912617,VCBJS0042,Jump Suit,Vyla,4890,3000,pcs,1,0,,,,,,,,
220,,Blue Embroidered Dress,single,3804885458,VLBFR0055,Frock,Vyla,4690,3000,pcs,3,0,,,,,,,,
221,,Casual Denim Look Frock,single,1165233563,VLBFR0056,Frock,Vyla,3690,3000,pcs,5,0,,,,,,,,
222,,Long Denim Halter Frock *,single,1125716498,VLBFR0057,Frock,Vyla,6790,4500,pcs,1,0,1 pec damage *,,,,,,,
223,,Classic Wide Leg Jeans,single,8242293894,VCBPT0060,Pants,Vyla,5990,4500,pcs,1,0,"S 1, M 2",,,,,,,
224,,Fold Over Cuff Jeans,single,8951934899,VCBPN0061,Pants,Vyla,5290,3800,pcs,3,0,"S 2, L1",,,,,,,
225,,Vienne Lace T Shirt,single,5572367975,VCBTS0061,T Shirt,MEOW DAM,3490,2600,pcs,5,0,,,,,,,,
226,,Lumi Signature T Shirt,single,5074262797,VCBTS0062,T Shirt,MEOW DAM,3690,2500,pcs,12,0,,,,,,,,
227,,Petite Pocket Lable T Shirt,single,4310732277,VCBTS0063,T Shirt,MEOW DAM,3490,2200,unit,33,0,,,,,,,,
228,,Lumi Petit T Shirt,single,0668462713,VCBTS0064,T Shirt,MEOW DAM,3490,2100,pcs,12,0,,,,,,,,
229,,Maison Cat T Shirt,single,3149457259,VCBTS0066,T Shirt,MEOW DAM,3490,2500,pcs,2,0,,,,,,,,
230,,Olive Tide T Shirt,single,8066987397,VCBTS0067,T Shirt,MEOW DAM,3390,2500,pcs,12,0,,,,,,,,
231,,Home Edit T Shirt,single,4044645587,VCBTS0068,T Shirt,MEOW DAM,2990,2500,pcs,6,0,,,,,,,,
232,,Black Kitty T Shirt,single,1979722291,VCBTS0069,T Shirt,MEOW DAM,3290,2400,pcs,2,0,,,,,,,,
233,,Four Cats T Shirt,single,0027935480,VCBTS0070,T Shirt,MEOW DAM,3090,2400,pcs,1,0,,,,,,,,
234,,White Button T Shirt,single,9584469387,VCBTS0071,T Shirt,MEOW DAM,3290,2300,pcs,0,0,,,,,,,,
235,,Leaf Pocket T Shirt,single,8968554570,VCBTS0073,T Shirt,MEOW DAM,3290,2600,pcs,1,0,,,,,,,,
236,,Pastel Picnic T Shirt,single,0736311308,VCBTS0074,T Shirt,CHOM,3490,2300,pcs,9,0,,,,,,,,
237,,Honey & Bow Eyelet T Shirt,single,8559235681,VCBTS0075,T Shirt,CHOM,3590,2500,pcs,7,0,,,,,,,,
238,,Bruce Paw-cket T Shirt,single,9637660115,VCBTS0077,T Shirt,CHOM,3290,2200,pcs,1,0,,,,,,,,
239,,Starlight & Whiskers T Shirt,single,6980212428,VCBTS0078,T Shirt,CHOM,3190,2200,pcs,2,0,,,,,,,,
240,,Mini Flower Check Blouse,single,6087448750,VCBBL0145,Blouse,The Grand,3290,2800,pcs,2,0,,,,,,,,
241,,Lili Blouse,single,5753683041,VLBBL00146,Blouse,LILI,5490,4200,pcs,1,0,,,,,,,,
242,,Meadow Mist Blouse,single,7444783495,VLBBL0147,laxary,Amata,5290,3500,pcs,3,0,,,,,,,,
243,,Aura Floral Border Blouse,single,1399986481,VLBBL0148,laxary,Amata,5290,2500,pcs,1,0,2 Damage,,,,,,,
244,,Lace Path Floral Blouse,single,7917583698,VLBBL0149,laxary,Amata,5290,3200,pcs,4,0,,,,,,,,
245,,Coral Dream Garland Blouse,single,2357996634,VLBBL0150,Blouse,Amata,5290,3500,pcs,1,0,,,,,,,,
246,,Topical Petal Arch Blouse,single,6776059230,VLBBL0151,laxary,Amata,5290,3500,pcs,3,0,,,,,,,,
247,,Vertical Harmony Border Blouse,single,2586961720,VLBBL0152,Blouse,Amata,5290,3500,pcs,1,0,1 Damage,,,,,,,
248,,Flora Horizon Blouse,single,4463928526,VLBBL0153,Blouse,Amata,5290,3599,pcs,1,0,,,,,,,,
249,,Mist Ruffle Crop Top,single,3449382304,VCBBL0154,Crop Top,Infinity,4490,3000,pcs,12,0,,,,,,,,
250,,Daisy Puff Border Blouse ##,single,2508019759,VCBBL0155,white blouse,Infinity,4490,3800,pcs,8,0,,,,,,,,
251,,Pure White Crop Top ##,single,3905047762,VCBBL0156,white blouse,Infinity,4690,3100,pcs,11,0,,,,,,,,
252,,Ruffled Neck Line Crop Top ##@,single,4195422340,VCBBL0157,white blouse,Infinity,3690,2600,pcs,7,0,,,,,,,,
253,,Onyx Set,single,9489616083,VLBFK0155,laxary,Vyla,6990,4000,pcs,5,0,,,,,,,,
254,,Maple Skort Set,single,2279607339,VLBFK0156,laxary,Vyla,6990,4200,pcs,3,0,,,,,,,,
255,,V Neck Short Set,single,7840318517,VLBFK0157,laxary,Vyla,6890,4000,pcs,5,0,,,,,,,,
256,,Nova Square Neck Frock,single,7509428278,VLBFR0157,laxary,Vyla,7490,3900,pcs,17,0,1pcs Damage,,,,,,,
259,,Flora Stitch Blouse,single,9473913799,VLBBL0160,laxary,Vyla,5790,3600,pcs,18,0,"Blue, Black, White",,,,,,,
260,,Daisy Denim Blouse,single,0918033564,VLBBL0161,Blouse,Vyla,4990,3400,pcs,7,0,"Size 40 - 3pcs , Size 42 - 3pcs, Size 44 - 1pcs",,,,,,,
261,,Peacock Fringe Blouse,single,7109815422,VLBBL0162,laxary,PHA THAI,5490,3500,pcs,13,0,"Brown 3, White 4, Black 3, Dark Brown 3",,,,,,,
262,,Bow Boxy Blouse,single,6619734216,VCBBL0158,Blouse,Mirabel,4690,3200,pcs,6,0,"Stors
Blouse box 01 
No - 262
4pec",,,,,,,
263,,Back Bow Blouse,single,3529461371,VCBBL0159,Blouse,Mirabel,4390,3200,pcs,7,0,,,,,,,,
264,,Heirloom Lace Blouse $,single,4005638719,VCBBL0160,Blouse,Cotton Store,4190,3000,pcs,10,0,"Stors
Blouse box 01
No-264
10 pec ",,,,,,,
265,,Orchard Embroidered Blouse,single,3259040484,VLBBL0163,laxary,PP Nook,5890,3500,pcs,2,0,,,,,,,,
266,,Daisy Chain Drawstring Blouse $,single,5165782013,VLBBL0164,Blouse,Vyla,5690,3500,pcs,9,0,"Brown 2, Cream 2, Blue 2, Green 1, Light Brown 2

Stors 
Blouse box 01
No- 266
09 pec",,,,,,,
267,,Sun bleached Sprig Blouse,single,0905409640,VLBBL0165,Blouse,Vyla,5690,3500,pcs,12,0,"Brown 2, Cream 2, Dark Brown 2, Blue 2, Green 4",,,,,,,
268,,Fern & Flora Crop Blouse,single,7902091751,VLBBL0166,laxary,Vyla,5690,3500,pcs,10,0,"Green 2, Brown 2, Dark Brown 2, Cream 2, Blue 2",,,,,,,
269,,Deep Sea Sketch Blouse,single,0357519354,VLBBL0167,laxary,Vyla,5790,3500,pcs,10,0,"Brown 2, Dark Brown 3, Cream 2, Green 2",,,,,,,
270,,Celestial Garden Pocket Blouse,single,2134679419,VLBBL0168,laxary,Vyla,5290,3500,pcs,13,0,"White 2, Cream 2, Green 2, Blue 2 old qn 8 08/19",,,,,,,
272,,Posh Pup Set,single,2613357878,VCBFK0167,Full Kit,Banana Basic,6790,5300,pcs,7,0,,,,,,,,
273,,Arctic Twilight Set,single,9569603088,VCBFK0168,Full Kit,Banana Basic,6990,5200,unit,6,0,,,,,,,,
274,,Honey Bear Star Set #@ *,single,2754061314,VCBFK0169,Full Kit,Banana Basic,6990,4000,pcs,3,0,1 pec damage wash *,,,,,,,
275,,Lace Pocket Blouse #,single,1977076053,VCBBL0170,Blouse,Mirabel,5090,3300,pcs,79,0,"Stors 
Blouse box 01
No - 275
00",,,,,,,
276,,Ribbon Stripe Blouse,single,0671156949,VCBBL00171,Blouse,Mirabel,4290,3500,pcs,3,0,"Stors 
Blouse box 01 
No-276
5pec ",,,,,,,
